Age,All_races_Both_sexes,All_races_Male,All_races_Female,White_Both_sexes,White_Male,White_Female,All_other_Total_Both_sexes,All_other_Total_Male,All_other_Total_Female,All_other_Black_Both_sexes,All_other_Black_Male,All_other_Black_Female
0,"100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000"
1,"99,001","98,896","99,110","99,146","99,045","99,253","98,483","98,365","98,605","98,225","98,061","98,374"
2,"98,331","98,177","98,490","99,050","99,082","99,198","98,391","98,269","98,524","98,123","97,966","98,287"
3,"98,378","98,758","99,003","99,034","98,919","99,156","98,318","98,183","98,459","98,042","97,876","98,215"
4,"98,337","98,713","98,966","98,997","98,879","99,122","98,259","98,118","98,404","97,976","97,803","98,156"
5,"98,300","98,678","98,935","98,967","98,850","99,091","98,215","98,064","98,360","97,916","97,742","98,096"
6,"98,774","98,643","98,909","98,941","98,817","99,072","98,168","98,016","98,324","97,876","97,689","98,069"
7,"98,747","98,612","98,887","98,917","98,789","98,051","98,132","97,973","98,294","97,837","97,642","98,037"
8,"98,723","98,584","98,867","98,895","98,763","99,033","98,100","97,935","98,269","97,803","97,601","98,010"
9,"98,702","98,559","98,850","98,875","98,740","99,017","98,072","97,902","98,246","97,773","97,566","97,986"
10,"98,683","98,538","98,834","98,858","98,720","99,003","98,047","97,875","98,224","97,746","97,537","97,962"
11,"98,666","98,520","98,819","98,843","98,703","98,990","98,024","97,852","98,202","97,722","97,513","97,937"
12,"98,649","98,502","98,804","98,828","98,685","98,977","98,001","97,830","98,176","97,697","97,490","97,910"
13,"98,621","98,476","98,786","98,806","98,661","98,963","97,973","97,800","98,151","97,666","97,459","97,881"
14,"98,595","98,435","98,763","98,777","98,621","98,941","97,935","97,754","98,121","97,625","97,409","97,849"
15,"98,549","98,373","98,734","98,732","98,561","98,912","97,883","97,684","98,088","97,569","97,333","97,815"
16,"98,487","98,296","98,690","98,671","98,477","98,875","97,815","97,587","98,050","97,497","97,228","97,777"
17,"98,409","98,178","98,651","98,595","98,372","98,829","97,732","97,464","98,008","97,408","97,095","97,735"
18,"98,319","98,050","98,600","98,507","98,249","98,778","97,633","97,316","97,960","97,303","96,934","97,688"
19,"98,221","97,909","98,547","98,412","98,115","98,725","97,520","97,144","97,907","97,182","96,746","97,634"
20,"98,118","97,758","98,494","98,315","97,974","98,673","97,393","96,951","97,848","97,046","96,534","97,573"
21,"98,011","97,598","98,441","98,216","97,827","98,623","97,253","96,734","97,783","96,894","96,296","97,503"
22,"97,900","97,429","98,388","98,114","97,673","98,574","97,098","96,495","97,711","96,725","96,025","97,425"
23,"97,785","97,255","98,334","98,011","97,515","98,526","96,932","96,239","97,633","96,543","95,748","97,338"
24,"97,669","97,079","98,279","97,907","97,357","98,477","96,759","95,974","97,548","96,351","95,452","97,244"
25,"97,553","96,904","98,222","97,803","97,201","98,427","96,581","95,705","97,457","96,153","95,150","97,142"
26,"97,437","96,732","98,163","97,700","97,049","98,376","96,399","95,434","97,359","95,849","94,843","97,033"
27,"97,321","96,563","98,101","97,598","96,900","98,323","98,212","95,159","97,255","95,737","94,530","96,915"
28,"97,204","96,393","98,037","97,496","97,496","98,268","96,018","94,876","97,143","95,183","94,205","96,782"
29,"97,083","96,219","97,970","97,391","96,600","98,213","95,815","94,581","97,026","95,281","93,863","96,654"
30,"96,957","96,039","97,901","97,283","96,443","98,155","95,600","94,270","96,901","95,031","93,499","96,510"
